
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-15-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 1.0263, 51.89, 49.30
2, 0.7026, 66.17, 62.90
3, 0.6261, 71.77, 70.20
4, 0.5770, 74.46, 73.10
5, 0.5417, 76.63, 74.10
6, 0.5130, 79.14, 76.40
7, 0.4871, 80.69, 79.00
8, 0.4625, 82.51, 81.50
9, 0.4379, 83.83, 83.10
10, 0.4123, 85.94, 84.30
11, 0.3855, 87.03, 85.30
12, 0.3593, 88.57, 86.50
13, 0.3365, 89.31, 87.60
14, 0.3178, 89.89, 88.10
15, 0.3027, 90.46, 88.70
16, 0.2902, 90.97, 88.90
17, 0.2797, 91.54, 89.50
18, 0.2706, 91.77, 90.00
19, 0.2626, 92.00, 90.10
20, 0.2553, 92.51, 90.20
21, 0.2487, 92.69, 90.20
22, 0.2426, 92.86, 90.50
23, 0.2370, 93.14, 90.70
24, 0.2319, 93.60, 90.70
25, 0.2271, 93.77, 90.90
26, 0.2227, 93.94, 91.00
27, 0.2186, 94.11, 91.10
28, 0.2148, 94.29, 91.50
29, 0.2111, 94.51, 91.70
30, 0.2077, 94.57, 91.90
31, 0.2045, 94.86, 92.10
32, 0.2015, 94.86, 91.90
33, 0.1986, 94.86, 92.10
34, 0.1959, 95.09, 92.00
35, 0.1933, 95.20, 92.10
36, 0.1909, 95.26, 92.20
37, 0.1886, 95.31, 92.40
38, 0.1865, 95.31, 92.40
39, 0.1844, 95.26, 92.50
40, 0.1825, 95.26, 92.30
41, 0.1807, 95.31, 92.40
42, 0.1789, 95.31, 92.40
43, 0.1773, 95.31, 92.50
44, 0.1757, 95.37, 92.60
45, 0.1742, 95.37, 92.50
46, 0.1728, 95.43, 92.50
47, 0.1714, 95.43, 92.50
48, 0.1701, 95.43, 92.50
49, 0.1688, 95.54, 92.40
50, 0.1676, 95.54, 92.40
51, 0.1664, 95.66, 92.60
52, 0.1653, 95.66, 92.70
53, 0.1642, 95.66, 92.70
54, 0.1631, 95.66, 92.70
55, 0.1621, 95.71, 92.70
56, 0.1611, 95.71, 92.80
57, 0.1602, 95.77, 92.80
58, 0.1593, 95.71, 92.80
59, 0.1584, 95.89, 92.80
60, 0.1575, 95.89, 92.80
61, 0.1567, 95.94, 92.80
62, 0.1558, 95.94, 92.80
63, 0.1550, 96.00, 92.80
64, 0.1543, 95.94, 92.60
65, 0.1535, 95.94, 92.60
66, 0.1528, 96.11, 92.60
67, 0.1520, 96.11, 92.60
68, 0.1513, 96.11, 92.60
69, 0.1506, 96.06, 92.60
70, 0.1499, 96.06, 92.60
71, 0.1493, 96.17, 92.60
72, 0.1486, 96.17, 92.60
73, 0.1480, 96.17, 92.60
74, 0.1474, 96.17, 92.50
75, 0.1467, 96.23, 92.50
76, 0.1461, 96.23, 92.50
77, 0.1455, 96.29, 92.40
78, 0.1449, 96.23, 92.40
79, 0.1443, 96.23, 92.50
80, 0.1437, 96.23, 92.50
81, 0.1431, 96.23, 92.50
82, 0.1425, 96.23, 92.60
83, 0.1419, 96.29, 92.60
84, 0.1413, 96.34, 92.60
85, 0.1407, 96.34, 92.50
86, 0.1401, 96.40, 92.40
87, 0.1395, 96.40, 92.30
88, 0.1389, 96.40, 92.30
89, 0.1383, 96.40, 92.30
90, 0.1377, 96.40, 92.20
91, 0.1371, 96.40, 92.30
92, 0.1365, 96.40, 92.40
93, 0.1360, 96.46, 92.30
94, 0.1354, 96.51, 92.30
95, 0.1349, 96.51, 92.30
96, 0.1344, 96.51, 92.30
97, 0.1338, 96.51, 92.30
98, 0.1333, 96.51, 92.30
99, 0.1328, 96.51, 92.20
100, 0.1324, 96.51, 92.20

