
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-20-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8838, 33.20, 30.20
2, 0.7456, 58.51, 56.20
3, 0.5946, 78.06, 77.10
4, 0.4581, 85.37, 85.30
5, 0.3641, 87.60, 87.70
6, 0.3051, 88.86, 89.00
7, 0.2657, 90.00, 89.90
8, 0.2377, 90.97, 90.10
9, 0.2171, 91.37, 90.20
10, 0.2010, 91.94, 90.80
11, 0.1881, 92.40, 91.30
12, 0.1773, 92.91, 91.50
13, 0.1682, 93.20, 91.80
14, 0.1602, 93.49, 91.90
15, 0.1533, 93.77, 91.70
16, 0.1471, 94.11, 91.90
17, 0.1416, 94.29, 91.90
18, 0.1366, 94.40, 91.90
19, 0.1320, 94.74, 92.00
20, 0.1278, 94.86, 92.20
21, 0.1240, 95.09, 92.10
22, 0.1204, 95.20, 92.10
23, 0.1170, 95.31, 92.20
24, 0.1139, 95.49, 92.20
25, 0.1109, 95.49, 92.20
26, 0.1081, 95.66, 92.20
27, 0.1055, 95.77, 92.20
28, 0.1030, 95.89, 92.20
29, 0.1007, 96.00, 92.30
30, 0.0984, 96.06, 92.30
31, 0.0963, 96.17, 92.40
32, 0.0943, 96.17, 92.30
33, 0.0923, 96.23, 92.20
34, 0.0904, 96.29, 92.20
35, 0.0887, 96.46, 92.30
36, 0.0869, 96.63, 92.30
37, 0.0853, 96.69, 92.40
38, 0.0837, 96.74, 92.40
39, 0.0822, 96.80, 92.40
40, 0.0807, 96.80, 92.40
41, 0.0793, 96.91, 92.40
42, 0.0779, 97.03, 92.40
43, 0.0765, 97.14, 92.30
44, 0.0752, 97.26, 92.40
45, 0.0740, 97.49, 92.40
46, 0.0728, 97.54, 92.40
47, 0.0716, 97.54, 92.40
48, 0.0704, 97.66, 92.40
49, 0.0693, 97.66, 92.50
50, 0.0682, 97.77, 92.50
51, 0.0671, 97.77, 92.50
52, 0.0661, 97.77, 92.50
53, 0.0650, 97.77, 92.50
54, 0.0640, 97.77, 92.50
55, 0.0631, 97.77, 92.50
56, 0.0621, 97.89, 92.50
57, 0.0612, 98.00, 92.50
58, 0.0603, 98.00, 92.60
59, 0.0594, 98.11, 92.60
60, 0.0585, 98.11, 92.60
61, 0.0576, 98.17, 92.60
62, 0.0568, 98.17, 92.60
63, 0.0560, 98.17, 92.60
64, 0.0552, 98.23, 92.60
65, 0.0544, 98.23, 92.60
66, 0.0537, 98.23, 92.60
67, 0.0529, 98.23, 92.60
68, 0.0522, 98.23, 92.70
69, 0.0515, 98.23, 92.70
70, 0.0508, 98.23, 92.80
71, 0.0502, 98.23, 92.80
72, 0.0495, 98.23, 92.80
73, 0.0489, 98.23, 92.80
74, 0.0483, 98.23, 92.70
75, 0.0476, 98.17, 92.70
76, 0.0471, 98.17, 92.70
77, 0.0465, 98.17, 92.70
78, 0.0459, 98.23, 92.70
79, 0.0454, 98.23, 92.70
80, 0.0448, 98.23, 92.70
81, 0.0443, 98.23, 92.70
82, 0.0438, 98.34, 92.70
83, 0.0433, 98.34, 92.70
84, 0.0428, 98.34, 92.70
85, 0.0423, 98.34, 92.50
86, 0.0418, 98.34, 92.50
87, 0.0414, 98.34, 92.30
88, 0.0409, 98.34, 92.30
89, 0.0405, 98.34, 92.30
90, 0.0401, 98.40, 92.30
91, 0.0396, 98.40, 92.30
92, 0.0392, 98.40, 92.30
93, 0.0388, 98.40, 92.30
94, 0.0384, 98.40, 92.30
95, 0.0380, 98.40, 92.30
96, 0.0376, 98.40, 92.30
97, 0.0373, 98.40, 92.40
98, 0.0369, 98.40, 92.40
99, 0.0365, 98.40, 92.50
100, 0.0362, 98.40, 92.50

