
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-5-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9469, 21.94, 22.90
2, 0.8747, 30.86, 31.60
3, 0.8237, 46.40, 48.00
4, 0.7427, 64.86, 67.10
5, 0.6342, 72.00, 74.50
6, 0.5374, 75.89, 77.00
7, 0.4703, 77.71, 78.80
8, 0.4242, 79.66, 79.80
9, 0.3913, 80.63, 80.40
10, 0.3667, 81.89, 81.30
11, 0.3476, 82.74, 82.00
12, 0.3323, 83.54, 82.30
13, 0.3198, 84.17, 82.50
14, 0.3093, 85.20, 83.20
15, 0.3003, 86.11, 83.80
16, 0.2922, 87.03, 83.90
17, 0.2849, 87.60, 84.70
18, 0.2780, 88.74, 85.50
19, 0.2712, 89.20, 86.00
20, 0.2643, 89.77, 86.60
21, 0.2572, 90.00, 86.70
22, 0.2496, 90.29, 86.90
23, 0.2418, 90.51, 87.00
24, 0.2340, 90.69, 87.40
25, 0.2265, 90.97, 87.60
26, 0.2196, 91.20, 87.40
27, 0.2134, 91.49, 87.30
28, 0.2079, 91.54, 87.20
29, 0.2029, 91.77, 87.20
30, 0.1986, 91.77, 87.50
31, 0.1946, 91.83, 87.30
32, 0.1911, 91.94, 87.20
33, 0.1878, 92.17, 87.40
34, 0.1849, 92.23, 87.50
35, 0.1822, 92.40, 87.70
36, 0.1796, 92.51, 87.60
37, 0.1773, 92.46, 87.50
38, 0.1751, 92.34, 87.30
39, 0.1730, 92.29, 87.30
40, 0.1711, 92.34, 87.30
41, 0.1693, 92.46, 87.40
42, 0.1675, 92.51, 87.50
43, 0.1659, 92.63, 87.70
44, 0.1643, 92.57, 87.80
45, 0.1628, 92.57, 87.90
46, 0.1614, 92.57, 88.00
47, 0.1601, 92.63, 87.90
48, 0.1588, 92.57, 87.90
49, 0.1575, 92.63, 87.80
50, 0.1563, 92.63, 87.80
51, 0.1552, 92.63, 87.90
52, 0.1541, 92.63, 87.90
53, 0.1530, 92.69, 87.90
54, 0.1520, 92.69, 87.90
55, 0.1510, 92.63, 87.70
56, 0.1501, 92.63, 87.70
57, 0.1492, 92.63, 87.70
58, 0.1483, 92.63, 87.80
59, 0.1474, 92.69, 87.80
60, 0.1466, 92.74, 87.80
61, 0.1458, 92.74, 87.90
62, 0.1450, 92.74, 88.00
63, 0.1442, 92.86, 88.00
64, 0.1435, 92.86, 88.00
65, 0.1428, 92.91, 88.00
66, 0.1421, 92.91, 88.00
67, 0.1414, 92.97, 87.90
68, 0.1407, 92.97, 87.80
69, 0.1401, 92.97, 87.70
70, 0.1394, 93.09, 87.80
71, 0.1388, 93.14, 87.90
72, 0.1382, 93.09, 87.90
73, 0.1376, 93.09, 87.90
74, 0.1370, 93.09, 87.90
75, 0.1364, 93.03, 87.90
76, 0.1358, 93.03, 87.90
77, 0.1353, 93.09, 88.00
78, 0.1347, 93.09, 88.00
79, 0.1342, 93.09, 88.00
80, 0.1336, 93.09, 88.00
81, 0.1331, 93.14, 87.90
82, 0.1326, 93.20, 87.90
83, 0.1321, 93.20, 87.80
84, 0.1316, 93.09, 87.80
85, 0.1311, 93.09, 87.80
86, 0.1306, 93.09, 87.90
87, 0.1301, 93.14, 87.90
88, 0.1296, 93.20, 87.90
89, 0.1291, 93.20, 87.70
90, 0.1286, 93.26, 87.70
91, 0.1282, 93.20, 87.70
92, 0.1277, 93.26, 87.80
93, 0.1272, 93.26, 87.80
94, 0.1268, 93.26, 87.90
95, 0.1263, 93.31, 87.90
96, 0.1259, 93.37, 88.00
97, 0.1254, 93.43, 88.00
98, 0.1250, 93.54, 88.00
99, 0.1246, 93.54, 88.00
100, 0.1241, 93.54, 88.10

