
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-15-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8305, 73.89, 73.60
2, 0.5980, 82.57, 80.80
3, 0.5415, 85.71, 84.20
4, 0.5156, 87.09, 85.50
5, 0.4963, 88.57, 86.70
6, 0.4741, 90.51, 88.00
7, 0.4470, 91.03, 88.90
8, 0.4270, 91.49, 89.30
9, 0.4126, 91.94, 89.70
10, 0.4001, 91.94, 89.70
11, 0.3892, 92.11, 89.90
12, 0.3789, 92.46, 90.10
13, 0.3669, 92.63, 90.10
14, 0.3568, 93.03, 90.30
15, 0.3486, 93.49, 90.80
16, 0.3420, 93.49, 90.80
17, 0.3367, 93.43, 91.10
18, 0.3323, 93.60, 91.20
19, 0.3286, 93.66, 91.10
20, 0.3254, 93.66, 90.90
21, 0.3226, 93.66, 90.80
22, 0.3201, 93.66, 91.10
23, 0.3178, 93.77, 91.30
24, 0.3157, 93.77, 91.20
25, 0.3138, 93.94, 91.20
26, 0.3120, 94.00, 91.30
27, 0.3102, 94.00, 91.40
28, 0.3086, 94.11, 91.50
29, 0.3071, 94.11, 91.60
30, 0.3057, 94.11, 91.70
31, 0.3043, 94.06, 91.60
32, 0.3030, 94.11, 91.70
33, 0.3018, 94.11, 91.70
34, 0.3006, 94.23, 91.70
35, 0.2995, 94.23, 91.50
36, 0.2984, 94.17, 91.50
37, 0.2973, 94.23, 91.30
38, 0.2963, 94.23, 91.30
39, 0.2954, 94.17, 91.30
40, 0.2945, 94.23, 91.40
41, 0.2936, 94.23, 91.40
42, 0.2927, 94.23, 91.30
43, 0.2919, 94.29, 91.30
44, 0.2911, 94.29, 91.10
45, 0.2904, 94.34, 90.90
46, 0.2896, 94.34, 90.90
47, 0.2889, 94.40, 90.90
48, 0.2883, 94.40, 90.90
49, 0.2876, 94.40, 90.90
50, 0.2870, 94.40, 90.90
51, 0.2864, 94.40, 90.80
52, 0.2858, 94.46, 90.90
53, 0.2852, 94.51, 90.80
54, 0.2847, 94.51, 90.80
55, 0.2842, 94.46, 90.60
56, 0.2837, 94.46, 90.30
57, 0.2832, 94.46, 90.30
58, 0.2827, 94.63, 90.20
59, 0.2822, 94.63, 90.20
60, 0.2818, 94.63, 90.20
61, 0.2814, 94.63, 90.20
62, 0.2809, 94.63, 90.10
63, 0.2805, 94.63, 90.10
64, 0.2801, 94.69, 90.10
65, 0.2797, 94.69, 90.20
66, 0.2793, 94.69, 90.30
67, 0.2789, 94.69, 90.30
68, 0.2785, 94.69, 90.30
69, 0.2781, 94.69, 90.20
70, 0.2778, 94.74, 90.20
71, 0.2774, 94.74, 90.20
72, 0.2770, 94.80, 90.00
73, 0.2767, 94.80, 90.00
74, 0.2763, 94.86, 90.00
75, 0.2759, 94.86, 89.90
76, 0.2756, 94.91, 89.90
77, 0.2753, 94.91, 89.80
78, 0.2749, 94.97, 89.80
79, 0.2746, 95.03, 89.80
80, 0.2743, 95.03, 89.70
81, 0.2740, 95.03, 89.80
82, 0.2736, 95.03, 89.70
83, 0.2733, 95.03, 89.70
84, 0.2730, 95.03, 89.70
85, 0.2727, 95.03, 89.70
86, 0.2724, 95.03, 89.60
87, 0.2721, 95.03, 89.60
88, 0.2719, 95.03, 89.60
89, 0.2716, 95.03, 89.60
90, 0.2713, 95.09, 89.70
91, 0.2711, 95.09, 89.70
92, 0.2708, 95.03, 89.70
93, 0.2705, 95.03, 89.80
94, 0.2703, 95.03, 89.80
95, 0.2700, 95.03, 89.80
96, 0.2698, 95.03, 89.90
97, 0.2696, 95.03, 89.90
98, 0.2693, 95.03, 89.90
99, 0.2691, 94.97, 90.00
100, 0.2688, 94.97, 90.00

