
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-25-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9141, 30.23, 27.40
2, 0.8419, 40.11, 35.10
3, 0.7606, 58.17, 53.10
4, 0.6552, 66.34, 61.60
5, 0.5564, 72.17, 66.90
6, 0.4817, 76.57, 72.50
7, 0.4266, 80.46, 76.50
8, 0.3837, 83.09, 80.20
9, 0.3489, 86.00, 82.20
10, 0.3198, 87.37, 85.20
11, 0.2951, 88.80, 86.20
12, 0.2738, 89.77, 87.40
13, 0.2552, 90.74, 88.10
14, 0.2392, 91.37, 88.70
15, 0.2253, 91.77, 89.30
16, 0.2132, 92.40, 89.50
17, 0.2027, 92.80, 89.90
18, 0.1933, 93.54, 90.00
19, 0.1850, 93.71, 90.40
20, 0.1775, 94.06, 90.50
21, 0.1706, 94.34, 90.80
22, 0.1644, 94.63, 90.90
23, 0.1587, 94.69, 91.10
24, 0.1536, 94.69, 91.70
25, 0.1489, 94.74, 91.80
26, 0.1446, 94.80, 91.70
27, 0.1406, 94.80, 91.90
28, 0.1369, 94.86, 92.10
29, 0.1335, 94.86, 92.30
30, 0.1303, 95.03, 92.40
31, 0.1272, 95.14, 92.50
32, 0.1244, 95.26, 92.60
33, 0.1217, 95.43, 92.70
34, 0.1191, 95.49, 92.80
35, 0.1167, 95.49, 92.80
36, 0.1143, 95.49, 92.80
37, 0.1121, 95.60, 92.80
38, 0.1099, 95.71, 92.70
39, 0.1078, 95.77, 92.60
40, 0.1059, 95.83, 92.60
41, 0.1040, 95.94, 92.70
42, 0.1021, 96.00, 92.70
43, 0.1004, 96.00, 92.90
44, 0.0987, 96.06, 93.00
45, 0.0970, 96.29, 93.20
46, 0.0955, 96.34, 93.20
47, 0.0940, 96.51, 93.30
48, 0.0925, 96.69, 93.30
49, 0.0911, 96.69, 93.40
50, 0.0897, 96.69, 93.30
51, 0.0884, 96.69, 93.20
52, 0.0871, 96.74, 93.30
53, 0.0858, 96.80, 93.30
54, 0.0846, 96.86, 93.40
55, 0.0834, 96.86, 93.40
56, 0.0823, 96.97, 93.40
57, 0.0811, 97.09, 93.40
58, 0.0801, 97.14, 93.40
59, 0.0790, 97.14, 93.40
60, 0.0780, 97.20, 93.40
61, 0.0770, 97.20, 93.40
62, 0.0760, 97.26, 93.30
63, 0.0751, 97.26, 93.30
64, 0.0741, 97.31, 93.30
65, 0.0732, 97.37, 93.20
66, 0.0724, 97.37, 93.20
67, 0.0715, 97.43, 93.30
68, 0.0707, 97.54, 93.30
69, 0.0699, 97.60, 93.30
70, 0.0691, 97.60, 93.30
71, 0.0683, 97.66, 93.30
72, 0.0675, 97.71, 93.30
73, 0.0668, 97.83, 93.40
74, 0.0661, 97.83, 93.30
75, 0.0654, 97.83, 93.30
76, 0.0647, 97.83, 93.40
77, 0.0640, 97.83, 93.40
78, 0.0633, 97.83, 93.40
79, 0.0627, 97.83, 93.50
80, 0.0620, 97.89, 93.50
81, 0.0614, 98.00, 93.40
82, 0.0608, 98.00, 93.40
83, 0.0602, 98.11, 93.40
84, 0.0596, 98.11, 93.50
85, 0.0590, 98.11, 93.50
86, 0.0584, 98.23, 93.50
87, 0.0579, 98.23, 93.60
88, 0.0573, 98.23, 93.60
89, 0.0568, 98.23, 93.60
90, 0.0563, 98.23, 93.60
91, 0.0557, 98.23, 93.60
92, 0.0552, 98.23, 93.60
93, 0.0547, 98.29, 93.60
94, 0.0542, 98.29, 93.60
95, 0.0537, 98.29, 93.60
96, 0.0533, 98.29, 93.50
97, 0.0528, 98.29, 93.50
98, 0.0523, 98.29, 93.50
99, 0.0519, 98.29, 93.50
100, 0.0514, 98.29, 93.50

