
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-10-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7656, 67.54, 67.22
2, 0.5347, 76.99, 76.28
3, 0.4450, 82.90, 81.88
4, 0.3703, 86.43, 86.05
5, 0.3071, 88.81, 88.02
6, 0.2686, 90.13, 89.20
7, 0.2426, 90.79, 90.10
8, 0.2259, 91.13, 90.60
9, 0.2149, 91.49, 90.88
10, 0.2070, 91.70, 91.12
11, 0.2008, 92.03, 91.25
12, 0.1958, 92.16, 91.53
13, 0.1915, 92.24, 91.77
14, 0.1878, 92.39, 91.75
15, 0.1846, 92.54, 91.88
16, 0.1817, 92.57, 91.92
17, 0.1791, 92.57, 91.90
18, 0.1768, 92.63, 92.00
19, 0.1748, 92.63, 91.97
20, 0.1729, 92.71, 92.00
21, 0.1711, 92.77, 92.05
22, 0.1695, 92.79, 92.07
23, 0.1681, 92.81, 92.10
24, 0.1667, 92.81, 92.10
25, 0.1655, 92.83, 92.07
26, 0.1643, 92.83, 92.12
27, 0.1633, 92.87, 92.12
28, 0.1623, 92.90, 92.12
29, 0.1613, 92.91, 92.12
30, 0.1605, 92.93, 92.12
31, 0.1596, 92.97, 92.17
32, 0.1589, 93.03, 92.20
33, 0.1581, 93.03, 92.17
34, 0.1574, 93.07, 92.20
35, 0.1568, 93.10, 92.25
36, 0.1561, 93.11, 92.30
37, 0.1555, 93.14, 92.33
38, 0.1550, 93.16, 92.30
39, 0.1544, 93.17, 92.30
40, 0.1539, 93.17, 92.27
41, 0.1534, 93.17, 92.25
42, 0.1529, 93.20, 92.25
43, 0.1524, 93.20, 92.25
44, 0.1520, 93.23, 92.25
45, 0.1516, 93.23, 92.22
46, 0.1512, 93.26, 92.22
47, 0.1508, 93.27, 92.20
48, 0.1504, 93.26, 92.20
49, 0.1500, 93.26, 92.22
50, 0.1496, 93.24, 92.22
51, 0.1493, 93.23, 92.22
52, 0.1489, 93.27, 92.27
53, 0.1486, 93.27, 92.30
54, 0.1483, 93.24, 92.27
55, 0.1480, 93.26, 92.27
56, 0.1477, 93.26, 92.30
57, 0.1474, 93.27, 92.35
58, 0.1471, 93.29, 92.35
59, 0.1468, 93.30, 92.35
60, 0.1466, 93.31, 92.38
61, 0.1463, 93.30, 92.38
62, 0.1461, 93.30, 92.38
63, 0.1458, 93.34, 92.38
64, 0.1456, 93.36, 92.42
65, 0.1453, 93.39, 92.42
66, 0.1451, 93.39, 92.42
67, 0.1449, 93.39, 92.42
68, 0.1447, 93.41, 92.42
69, 0.1444, 93.41, 92.42
70, 0.1442, 93.41, 92.40
71, 0.1440, 93.41, 92.38
72, 0.1438, 93.41, 92.38
73, 0.1436, 93.41, 92.38
74, 0.1434, 93.41, 92.38
75, 0.1433, 93.41, 92.42
76, 0.1431, 93.41, 92.45
77, 0.1429, 93.41, 92.45
78, 0.1427, 93.40, 92.45
79, 0.1425, 93.41, 92.45
80, 0.1424, 93.41, 92.45
81, 0.1422, 93.43, 92.45
82, 0.1420, 93.43, 92.47
83, 0.1419, 93.44, 92.47
84, 0.1417, 93.46, 92.45
85, 0.1416, 93.49, 92.45
86, 0.1414, 93.49, 92.45
87, 0.1413, 93.49, 92.47
88, 0.1411, 93.49, 92.45
89, 0.1410, 93.51, 92.45
90, 0.1408, 93.50, 92.47
91, 0.1407, 93.50, 92.50
92, 0.1405, 93.53, 92.50
93, 0.1404, 93.53, 92.47
94, 0.1403, 93.53, 92.47
95, 0.1401, 93.51, 92.47
96, 0.1400, 93.50, 92.47
97, 0.1399, 93.50, 92.47
98, 0.1398, 93.51, 92.45
99, 0.1396, 93.51, 92.42
100, 0.1395, 93.51, 92.42

