
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-25-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7855, 76.36, 76.50
2, 0.4767, 85.26, 84.78
3, 0.3881, 88.43, 87.85
4, 0.3353, 90.04, 89.62
5, 0.3001, 91.14, 90.58
6, 0.2747, 91.79, 91.38
7, 0.2547, 92.10, 91.57
8, 0.2389, 92.53, 91.95
9, 0.2263, 92.93, 92.15
10, 0.2159, 93.03, 92.30
11, 0.2072, 93.21, 92.45
12, 0.2001, 93.51, 92.85
13, 0.1941, 93.60, 93.10
14, 0.1892, 93.73, 93.20
15, 0.1850, 93.90, 93.42
16, 0.1814, 93.99, 93.45
17, 0.1782, 94.16, 93.55
18, 0.1755, 94.21, 93.60
19, 0.1730, 94.36, 93.67
20, 0.1708, 94.44, 93.88
21, 0.1688, 94.53, 93.92
22, 0.1669, 94.54, 93.97
23, 0.1652, 94.59, 94.05
24, 0.1637, 94.60, 94.03
25, 0.1622, 94.61, 94.08
26, 0.1609, 94.63, 94.08
27, 0.1596, 94.70, 94.10
28, 0.1584, 94.70, 94.12
29, 0.1573, 94.80, 94.12
30, 0.1562, 94.83, 94.12
31, 0.1552, 94.84, 94.12
32, 0.1542, 94.87, 94.15
33, 0.1533, 94.90, 94.20
34, 0.1524, 94.96, 94.23
35, 0.1516, 94.99, 94.30
36, 0.1507, 95.01, 94.30
37, 0.1499, 95.03, 94.33
38, 0.1492, 95.03, 94.38
39, 0.1484, 95.03, 94.38
40, 0.1477, 95.06, 94.42
41, 0.1470, 95.07, 94.42
42, 0.1463, 95.11, 94.42
43, 0.1457, 95.11, 94.50
44, 0.1450, 95.13, 94.42
45, 0.1444, 95.11, 94.47
46, 0.1438, 95.16, 94.50
47, 0.1432, 95.19, 94.53
48, 0.1426, 95.20, 94.55
49, 0.1420, 95.23, 94.58
50, 0.1415, 95.24, 94.58
51, 0.1409, 95.27, 94.58
52, 0.1404, 95.29, 94.60
53, 0.1398, 95.31, 94.65
54, 0.1393, 95.33, 94.62
55, 0.1388, 95.37, 94.65
56, 0.1383, 95.37, 94.65
57, 0.1378, 95.37, 94.65
58, 0.1373, 95.40, 94.65
59, 0.1368, 95.40, 94.65
60, 0.1363, 95.43, 94.67
61, 0.1358, 95.41, 94.70
62, 0.1354, 95.44, 94.70
63, 0.1349, 95.44, 94.70
64, 0.1344, 95.46, 94.73
65, 0.1340, 95.46, 94.70
66, 0.1335, 95.46, 94.67
67, 0.1330, 95.47, 94.67
68, 0.1325, 95.50, 94.70
69, 0.1321, 95.47, 94.75
70, 0.1316, 95.51, 94.80
71, 0.1311, 95.51, 94.77
72, 0.1307, 95.51, 94.77
73, 0.1302, 95.50, 94.77
74, 0.1298, 95.51, 94.77
75, 0.1293, 95.51, 94.77
76, 0.1289, 95.50, 94.80
77, 0.1285, 95.51, 94.80
78, 0.1281, 95.54, 94.77
79, 0.1277, 95.56, 94.80
80, 0.1273, 95.57, 94.80
81, 0.1269, 95.59, 94.75
82, 0.1265, 95.60, 94.75
83, 0.1262, 95.59, 94.73
84, 0.1258, 95.60, 94.73
85, 0.1254, 95.61, 94.73
86, 0.1251, 95.63, 94.75
87, 0.1247, 95.64, 94.77
88, 0.1244, 95.64, 94.73
89, 0.1240, 95.66, 94.67
90, 0.1237, 95.64, 94.62
91, 0.1234, 95.66, 94.65
92, 0.1231, 95.67, 94.62
93, 0.1227, 95.70, 94.62
94, 0.1224, 95.69, 94.60
95, 0.1221, 95.70, 94.60
96, 0.1218, 95.71, 94.58
97, 0.1215, 95.73, 94.60
98, 0.1212, 95.74, 94.60
99, 0.1209, 95.76, 94.60
100, 0.1206, 95.76, 94.58

