
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-20-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7919, 59.91, 59.60
2, 0.5112, 81.36, 81.75
3, 0.3400, 87.93, 87.98
4, 0.2588, 90.00, 89.50
5, 0.2163, 91.41, 91.00
6, 0.1882, 92.56, 92.05
7, 0.1688, 93.17, 92.70
8, 0.1552, 93.47, 92.83
9, 0.1450, 93.77, 93.05
10, 0.1368, 94.01, 93.25
11, 0.1300, 94.13, 93.42
12, 0.1242, 94.39, 93.60
13, 0.1193, 94.53, 93.77
14, 0.1149, 94.74, 93.83
15, 0.1111, 94.86, 93.85
16, 0.1076, 95.07, 94.03
17, 0.1045, 95.20, 94.17
18, 0.1016, 95.31, 94.17
19, 0.0990, 95.46, 94.30
20, 0.0967, 95.53, 94.38
21, 0.0945, 95.57, 94.42
22, 0.0924, 95.69, 94.42
23, 0.0905, 95.73, 94.47
24, 0.0888, 95.79, 94.55
25, 0.0871, 95.87, 94.60
26, 0.0856, 95.94, 94.62
27, 0.0841, 96.04, 94.75
28, 0.0828, 96.07, 94.80
29, 0.0815, 96.17, 94.85
30, 0.0803, 96.21, 94.92
31, 0.0791, 96.26, 94.97
32, 0.0780, 96.33, 94.97
33, 0.0769, 96.39, 95.03
34, 0.0759, 96.41, 95.03
35, 0.0750, 96.41, 95.10
36, 0.0741, 96.41, 95.15
37, 0.0732, 96.44, 95.10
38, 0.0723, 96.46, 95.17
39, 0.0715, 96.50, 95.17
40, 0.0707, 96.53, 95.23
41, 0.0700, 96.56, 95.20
42, 0.0693, 96.57, 95.17
43, 0.0686, 96.59, 95.23
44, 0.0679, 96.60, 95.23
45, 0.0672, 96.67, 95.25
46, 0.0666, 96.71, 95.28
47, 0.0660, 96.76, 95.30
48, 0.0654, 96.76, 95.33
49, 0.0648, 96.77, 95.33
50, 0.0642, 96.81, 95.35
51, 0.0637, 96.87, 95.35
52, 0.0631, 96.86, 95.40
53, 0.0626, 96.90, 95.40
54, 0.0621, 96.91, 95.38
55, 0.0616, 97.01, 95.40
56, 0.0611, 97.04, 95.40
57, 0.0606, 97.03, 95.40
58, 0.0602, 97.04, 95.38
59, 0.0597, 97.04, 95.43
60, 0.0593, 97.07, 95.45
61, 0.0589, 97.11, 95.45
62, 0.0584, 97.13, 95.45
63, 0.0580, 97.16, 95.45
64, 0.0576, 97.17, 95.45
65, 0.0572, 97.20, 95.40
66, 0.0568, 97.23, 95.45
67, 0.0565, 97.23, 95.45
68, 0.0561, 97.24, 95.47
69, 0.0557, 97.24, 95.50
70, 0.0554, 97.26, 95.47
71, 0.0550, 97.31, 95.50
72, 0.0547, 97.31, 95.47
73, 0.0543, 97.34, 95.47
74, 0.0540, 97.39, 95.47
75, 0.0537, 97.41, 95.47
76, 0.0533, 97.43, 95.47
77, 0.0530, 97.44, 95.47
78, 0.0527, 97.47, 95.47
79, 0.0524, 97.47, 95.50
80, 0.0521, 97.49, 95.47
81, 0.0518, 97.49, 95.50
82, 0.0515, 97.51, 95.50
83, 0.0512, 97.53, 95.50
84, 0.0509, 97.57, 95.50
85, 0.0507, 97.59, 95.53
86, 0.0504, 97.59, 95.50
87, 0.0501, 97.60, 95.50
88, 0.0499, 97.60, 95.53
89, 0.0496, 97.61, 95.53
90, 0.0493, 97.64, 95.53
91, 0.0491, 97.66, 95.53
92, 0.0488, 97.66, 95.53
93, 0.0486, 97.66, 95.53
94, 0.0483, 97.66, 95.55
95, 0.0481, 97.67, 95.53
96, 0.0479, 97.67, 95.55
97, 0.0476, 97.69, 95.58
98, 0.0474, 97.71, 95.55
99, 0.0472, 97.73, 95.58
100, 0.0470, 97.74, 95.58

