
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-10-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8629, 47.69, 47.70
2, 0.6615, 70.47, 70.60
3, 0.4868, 79.63, 79.77
4, 0.3766, 81.96, 82.27
5, 0.3164, 84.66, 84.88
6, 0.2769, 88.07, 88.45
7, 0.2410, 90.36, 90.42
8, 0.2100, 91.14, 90.92
9, 0.1891, 91.84, 91.53
10, 0.1746, 92.19, 91.72
11, 0.1637, 92.66, 92.12
12, 0.1552, 93.01, 92.33
13, 0.1483, 93.27, 92.47
14, 0.1425, 93.37, 92.65
15, 0.1377, 93.59, 92.73
16, 0.1335, 93.76, 92.83
17, 0.1298, 93.90, 92.95
18, 0.1265, 93.99, 93.03
19, 0.1236, 94.10, 93.08
20, 0.1209, 94.19, 93.15
21, 0.1185, 94.36, 93.17
22, 0.1162, 94.47, 93.27
23, 0.1142, 94.59, 93.42
24, 0.1123, 94.66, 93.47
25, 0.1105, 94.79, 93.65
26, 0.1088, 94.87, 93.62
27, 0.1072, 94.93, 93.67
28, 0.1058, 94.99, 93.83
29, 0.1044, 94.99, 93.83
30, 0.1031, 95.03, 93.83
31, 0.1019, 95.09, 93.88
32, 0.1007, 95.10, 93.88
33, 0.0996, 95.17, 93.88
34, 0.0986, 95.24, 93.80
35, 0.0976, 95.26, 93.85
36, 0.0967, 95.34, 93.88
37, 0.0958, 95.37, 93.90
38, 0.0950, 95.46, 93.88
39, 0.0942, 95.44, 93.90
40, 0.0934, 95.47, 93.90
41, 0.0926, 95.47, 93.90
42, 0.0919, 95.56, 93.90
43, 0.0912, 95.61, 93.95
44, 0.0906, 95.61, 93.97
45, 0.0899, 95.67, 93.97
46, 0.0893, 95.73, 93.97
47, 0.0887, 95.71, 93.92
48, 0.0881, 95.71, 93.97
49, 0.0876, 95.71, 93.97
50, 0.0870, 95.76, 94.08
51, 0.0865, 95.83, 94.12
52, 0.0860, 95.83, 94.15
53, 0.0855, 95.87, 94.17
54, 0.0850, 95.89, 94.20
55, 0.0845, 95.86, 94.25
56, 0.0840, 95.86, 94.27
57, 0.0835, 95.89, 94.30
58, 0.0831, 95.96, 94.27
59, 0.0826, 95.97, 94.35
60, 0.0822, 96.00, 94.35
61, 0.0818, 96.03, 94.35
62, 0.0814, 96.04, 94.35
63, 0.0810, 96.04, 94.35
64, 0.0806, 96.06, 94.35
65, 0.0802, 96.09, 94.40
66, 0.0798, 96.09, 94.40
67, 0.0794, 96.07, 94.42
68, 0.0790, 96.09, 94.42
69, 0.0787, 96.09, 94.42
70, 0.0783, 96.09, 94.40
71, 0.0780, 96.10, 94.38
72, 0.0776, 96.11, 94.38
73, 0.0773, 96.11, 94.38
74, 0.0770, 96.11, 94.33
75, 0.0766, 96.13, 94.30
76, 0.0763, 96.13, 94.27
77, 0.0760, 96.14, 94.27
78, 0.0757, 96.16, 94.30
79, 0.0754, 96.16, 94.30
80, 0.0751, 96.20, 94.35
81, 0.0748, 96.21, 94.38
82, 0.0745, 96.20, 94.38
83, 0.0742, 96.24, 94.40
84, 0.0740, 96.24, 94.45
85, 0.0737, 96.27, 94.45
86, 0.0734, 96.27, 94.47
87, 0.0732, 96.29, 94.45
88, 0.0729, 96.29, 94.47
89, 0.0727, 96.29, 94.47
90, 0.0724, 96.30, 94.47
91, 0.0722, 96.30, 94.45
92, 0.0719, 96.31, 94.45
93, 0.0717, 96.31, 94.45
94, 0.0714, 96.31, 94.47
95, 0.0712, 96.33, 94.47
96, 0.0710, 96.39, 94.47
97, 0.0708, 96.39, 94.50
98, 0.0705, 96.39, 94.47
99, 0.0703, 96.39, 94.47
100, 0.0701, 96.39, 94.47

