
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-30-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.7992, 74.03, 74.05
2, 0.4308, 87.29, 87.67
3, 0.2823, 89.89, 90.08
4, 0.2263, 91.21, 91.20
5, 0.1967, 92.11, 91.72
6, 0.1773, 92.74, 92.22
7, 0.1631, 93.19, 92.58
8, 0.1521, 93.51, 92.75
9, 0.1433, 93.81, 92.95
10, 0.1360, 94.09, 93.05
11, 0.1298, 94.34, 93.33
12, 0.1244, 94.59, 93.67
13, 0.1197, 94.74, 93.75
14, 0.1155, 94.80, 93.85
15, 0.1117, 95.06, 94.00
16, 0.1083, 95.21, 94.00
17, 0.1051, 95.34, 94.12
18, 0.1022, 95.44, 94.25
19, 0.0995, 95.56, 94.30
20, 0.0969, 95.66, 94.45
21, 0.0946, 95.81, 94.47
22, 0.0924, 95.87, 94.53
23, 0.0903, 95.87, 94.67
24, 0.0883, 95.97, 94.90
25, 0.0865, 96.01, 94.92
26, 0.0848, 96.09, 94.97
27, 0.0831, 96.13, 95.03
28, 0.0816, 96.19, 95.05
29, 0.0801, 96.29, 95.03
30, 0.0787, 96.31, 95.08
31, 0.0774, 96.36, 95.12
32, 0.0761, 96.41, 95.17
33, 0.0749, 96.50, 95.23
34, 0.0738, 96.54, 95.25
35, 0.0727, 96.57, 95.33
36, 0.0716, 96.63, 95.35
37, 0.0706, 96.64, 95.35
38, 0.0696, 96.69, 95.40
39, 0.0687, 96.69, 95.45
40, 0.0678, 96.73, 95.50
41, 0.0669, 96.77, 95.47
42, 0.0661, 96.80, 95.60
43, 0.0652, 96.81, 95.65
44, 0.0645, 96.83, 95.70
45, 0.0637, 96.87, 95.73
46, 0.0629, 96.89, 95.75
47, 0.0622, 96.91, 95.75
48, 0.0615, 96.91, 95.78
49, 0.0608, 96.99, 95.78
50, 0.0602, 97.00, 95.80
51, 0.0595, 97.03, 95.80
52, 0.0589, 97.10, 95.83
53, 0.0583, 97.10, 95.90
54, 0.0577, 97.11, 95.93
55, 0.0572, 97.14, 95.90
56, 0.0566, 97.24, 95.93
57, 0.0560, 97.30, 95.95
58, 0.0555, 97.31, 95.93
59, 0.0550, 97.36, 95.95
60, 0.0545, 97.37, 95.97
61, 0.0540, 97.39, 96.03
62, 0.0535, 97.40, 96.05
63, 0.0530, 97.47, 96.05
64, 0.0526, 97.53, 96.05
65, 0.0521, 97.57, 96.08
66, 0.0517, 97.57, 96.08
67, 0.0513, 97.57, 96.08
68, 0.0508, 97.57, 96.08
69, 0.0504, 97.59, 96.10
70, 0.0500, 97.63, 96.12
71, 0.0496, 97.64, 96.15
72, 0.0492, 97.64, 96.15
73, 0.0488, 97.66, 96.15
74, 0.0485, 97.69, 96.15
75, 0.0481, 97.70, 96.17
76, 0.0477, 97.70, 96.17
77, 0.0474, 97.70, 96.17
78, 0.0470, 97.70, 96.17
79, 0.0467, 97.71, 96.20
80, 0.0463, 97.71, 96.20
81, 0.0460, 97.74, 96.23
82, 0.0457, 97.79, 96.20
83, 0.0454, 97.77, 96.23
84, 0.0450, 97.80, 96.25
85, 0.0447, 97.81, 96.25
86, 0.0444, 97.86, 96.28
87, 0.0441, 97.86, 96.30
88, 0.0438, 97.86, 96.30
89, 0.0435, 97.87, 96.30
90, 0.0432, 97.87, 96.30
91, 0.0429, 97.89, 96.28
92, 0.0427, 97.91, 96.28
93, 0.0424, 97.91, 96.23
94, 0.0421, 97.94, 96.23
95, 0.0418, 97.97, 96.23
96, 0.0416, 98.03, 96.23
97, 0.0413, 98.03, 96.20
98, 0.0411, 98.03, 96.20
99, 0.0408, 98.04, 96.23
100, 0.0406, 98.04, 96.23

