
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-15-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8602, 69.71, 69.75
2, 0.5786, 77.94, 76.90
3, 0.5086, 80.43, 80.85
4, 0.4594, 83.00, 82.35
5, 0.4170, 85.17, 84.80
6, 0.3810, 86.54, 86.10
7, 0.3520, 87.89, 87.25
8, 0.3283, 88.80, 88.05
9, 0.3079, 89.49, 89.00
10, 0.2899, 90.00, 89.70
11, 0.2742, 90.43, 90.50
12, 0.2607, 90.94, 90.90
13, 0.2488, 91.54, 91.40
14, 0.2383, 92.14, 91.70
15, 0.2288, 92.60, 92.00
16, 0.2204, 92.89, 92.40
17, 0.2130, 93.26, 92.60
18, 0.2066, 93.43, 92.55
19, 0.2010, 93.63, 92.80
20, 0.1960, 93.89, 92.80
21, 0.1915, 93.97, 92.90
22, 0.1875, 94.17, 93.05
23, 0.1838, 94.43, 93.05
24, 0.1805, 94.57, 93.10
25, 0.1774, 94.60, 93.15
26, 0.1746, 94.57, 93.10
27, 0.1720, 94.57, 93.05
28, 0.1696, 94.71, 93.10
29, 0.1673, 94.86, 93.10
30, 0.1652, 94.94, 93.10
31, 0.1632, 94.94, 93.25
32, 0.1614, 94.97, 93.25
33, 0.1597, 94.94, 93.30
34, 0.1580, 95.00, 93.35
35, 0.1565, 95.00, 93.30
36, 0.1550, 95.00, 93.35
37, 0.1536, 95.00, 93.25
38, 0.1523, 95.03, 93.20
39, 0.1510, 95.03, 93.35
40, 0.1498, 95.11, 93.25
41, 0.1486, 95.11, 93.30
42, 0.1475, 95.20, 93.30
43, 0.1465, 95.20, 93.40
44, 0.1454, 95.17, 93.40
45, 0.1445, 95.20, 93.40
46, 0.1435, 95.23, 93.45
47, 0.1426, 95.23, 93.45
48, 0.1417, 95.26, 93.45
49, 0.1408, 95.31, 93.50
50, 0.1400, 95.34, 93.55
51, 0.1392, 95.34, 93.55
52, 0.1384, 95.37, 93.60
53, 0.1376, 95.40, 93.60
54, 0.1368, 95.40, 93.60
55, 0.1360, 95.40, 93.60
56, 0.1352, 95.40, 93.60
57, 0.1344, 95.49, 93.60
58, 0.1336, 95.49, 93.60
59, 0.1328, 95.57, 93.60
60, 0.1320, 95.60, 93.60
61, 0.1312, 95.57, 93.65
62, 0.1304, 95.63, 93.65
63, 0.1297, 95.60, 93.70
64, 0.1290, 95.60, 93.65
65, 0.1283, 95.66, 93.60
66, 0.1276, 95.63, 93.60
67, 0.1270, 95.66, 93.60
68, 0.1263, 95.66, 93.60
69, 0.1257, 95.66, 93.65
70, 0.1252, 95.69, 93.65
71, 0.1246, 95.69, 93.75
72, 0.1241, 95.71, 93.70
73, 0.1236, 95.71, 93.70
74, 0.1231, 95.71, 93.70
75, 0.1226, 95.71, 93.70
76, 0.1222, 95.71, 93.70
77, 0.1217, 95.71, 93.65
78, 0.1213, 95.71, 93.65
79, 0.1208, 95.69, 93.65
80, 0.1204, 95.71, 93.65
81, 0.1200, 95.71, 93.65
82, 0.1196, 95.74, 93.65
83, 0.1192, 95.80, 93.65
84, 0.1188, 95.80, 93.65
85, 0.1184, 95.80, 93.70
86, 0.1181, 95.80, 93.75
87, 0.1177, 95.80, 93.75
88, 0.1174, 95.77, 93.75
89, 0.1170, 95.77, 93.75
90, 0.1167, 95.77, 93.75
91, 0.1164, 95.77, 93.75
92, 0.1160, 95.77, 93.80
93, 0.1157, 95.74, 93.80
94, 0.1154, 95.74, 93.80
95, 0.1151, 95.71, 93.80
96, 0.1148, 95.71, 93.80
97, 0.1145, 95.71, 93.85
98, 0.1142, 95.74, 93.85
99, 0.1139, 95.74, 93.85
100, 0.1136, 95.74, 93.90

