
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-30-10
Learning rate: 1.0
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 9.9248, 10.11, 11.10
2, 9.4172, 13.89, 14.10
3, 9.4171, 13.89, 14.10
4, 9.4171, 13.89, 14.10
5, 9.4171, 13.89, 14.10
6, 9.4171, 13.89, 14.10
7, 9.4171, 13.89, 14.15
8, 9.4171, 13.89, 14.15
9, 9.4171, 13.91, 14.15
10, 9.4171, 13.91, 14.15
11, 9.4171, 13.94, 14.20
12, 9.4171, 13.94, 14.20
13, 9.4171, 13.94, 14.20
14, 9.4171, 13.94, 14.20
15, 9.4171, 13.94, 14.20
16, 9.4171, 13.94, 14.20
17, 9.4171, 13.94, 14.20
18, 9.4171, 13.91, 14.25
19, 9.4171, 13.91, 14.25
20, 9.4171, 13.89, 14.25
21, 9.4171, 13.89, 14.30
22, 9.4171, 13.89, 14.30
23, 9.4171, 13.89, 14.30
24, 9.4171, 13.91, 14.30
25, 9.4171, 13.94, 14.30
26, 9.4171, 13.97, 14.25
27, 9.4171, 13.97, 14.25
28, 9.4171, 13.94, 14.25
29, 9.4171, 13.97, 14.30
30, 9.4171, 13.91, 14.60
31, 9.6760, 9.34, 10.05
32, 9.4171, 9.34, 10.05
33, 9.4171, 9.34, 10.05
34, 9.4171, 9.34, 10.05
35, 9.4171, 9.34, 10.05
36, 9.4171, 9.34, 10.05
37, 9.4171, 9.34, 10.05
38, 9.4171, 9.34, 10.05
39, 9.4171, 9.34, 10.05
40, 9.4171, 9.34, 10.05
41, 9.4171, 9.34, 10.05
42, 9.4171, 9.34, 10.05
43, 9.4171, 9.34, 10.05
44, 9.4171, 9.34, 10.05
45, 9.4171, 9.34, 10.05
46, 9.4171, 9.34, 10.05
47, 9.4171, 9.34, 10.05
48, 9.4171, 9.34, 10.05
49, 9.4171, 9.34, 10.05
50, 9.4171, 9.34, 10.05
51, 9.4171, 9.34, 10.05
52, 9.4171, 9.34, 10.05
53, 9.4171, 9.34, 10.05
54, 9.4171, 9.34, 10.05
55, 9.4171, 9.34, 10.05
56, 9.4171, 9.34, 10.05
57, 9.4171, 9.34, 10.05
58, 9.4171, 9.34, 10.05
59, 9.4171, 9.34, 10.05
60, 9.4171, 9.34, 10.05
61, 9.4171, 9.34, 10.05
62, 9.4171, 9.34, 10.05
63, 9.4171, 9.34, 10.05
64, 9.4171, 9.34, 10.05
65, 9.4171, 9.34, 10.05
66, 9.4171, 9.34, 10.05
67, 9.4171, 9.34, 10.05
68, 9.4171, 9.34, 10.05
69, 9.4171, 9.34, 10.05
70, 9.4171, 9.34, 10.05
71, 9.4171, 9.34, 10.05
72, 9.4171, 9.34, 10.05
73, 9.4171, 9.34, 10.05
74, 9.4171, 9.34, 10.05
75, 9.4171, 9.34, 10.05
76, 9.4171, 9.34, 10.05
77, 9.4171, 9.34, 10.05
78, 9.4171, 9.34, 10.05
79, 9.4171, 9.34, 10.05
80, 9.4171, 9.34, 10.05
81, 9.4171, 9.34, 10.05
82, 9.4171, 9.34, 10.05
83, 9.4171, 9.34, 10.05
84, 9.4171, 9.34, 10.05
85, 9.4171, 9.34, 10.05
86, 9.4171, 9.34, 10.05
87, 9.4171, 9.34, 10.05
88, 9.4171, 9.34, 10.05
89, 9.4171, 9.34, 10.05
90, 9.4171, 9.34, 10.05
91, 9.4171, 9.34, 10.05
92, 9.4171, 9.34, 10.05
93, 9.4171, 9.34, 10.05
94, 9.4171, 9.34, 10.05
95, 9.4171, 9.34, 10.05
96, 9.4171, 9.34, 10.05
97, 9.4171, 9.34, 10.05
98, 9.4171, 9.34, 10.05
99, 9.4171, 9.34, 10.05
100, 9.4171, 9.34, 10.05

