
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-30-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8584, 51.43, 52.00
2, 0.6575, 75.60, 74.95
3, 0.4751, 84.26, 83.70
4, 0.3658, 87.40, 86.35
5, 0.3021, 88.97, 88.40
6, 0.2617, 90.14, 89.45
7, 0.2334, 91.06, 90.40
8, 0.2126, 91.63, 91.00
9, 0.1966, 92.29, 91.30
10, 0.1837, 92.63, 91.80
11, 0.1731, 92.91, 92.15
12, 0.1641, 93.43, 92.55
13, 0.1564, 93.51, 92.70
14, 0.1498, 93.66, 92.80
15, 0.1439, 93.94, 93.00
16, 0.1387, 94.14, 93.20
17, 0.1340, 94.40, 93.40
18, 0.1299, 94.66, 93.80
19, 0.1260, 94.83, 93.85
20, 0.1226, 94.86, 93.95
21, 0.1194, 94.91, 93.80
22, 0.1165, 95.09, 93.80
23, 0.1137, 95.11, 93.80
24, 0.1112, 95.23, 93.85
25, 0.1088, 95.29, 94.00
26, 0.1066, 95.37, 94.05
27, 0.1045, 95.40, 94.10
28, 0.1025, 95.43, 94.15
29, 0.1007, 95.60, 94.15
30, 0.0989, 95.63, 94.25
31, 0.0972, 95.77, 94.25
32, 0.0956, 95.89, 94.25
33, 0.0940, 95.91, 94.35
34, 0.0926, 95.97, 94.55
35, 0.0912, 95.97, 94.60
36, 0.0898, 96.03, 94.60
37, 0.0885, 96.09, 94.65
38, 0.0872, 96.20, 94.65
39, 0.0860, 96.26, 94.70
40, 0.0848, 96.31, 94.65
41, 0.0837, 96.37, 94.65
42, 0.0826, 96.37, 94.75
43, 0.0816, 96.37, 94.75
44, 0.0805, 96.40, 94.75
45, 0.0796, 96.43, 94.85
46, 0.0786, 96.43, 94.90
47, 0.0777, 96.46, 94.95
48, 0.0768, 96.51, 95.00
49, 0.0759, 96.51, 94.90
50, 0.0750, 96.57, 94.95
51, 0.0742, 96.60, 95.00
52, 0.0734, 96.63, 95.05
53, 0.0726, 96.66, 95.10
54, 0.0718, 96.71, 95.10
55, 0.0711, 96.71, 95.05
56, 0.0703, 96.80, 95.05
57, 0.0696, 96.83, 95.05
58, 0.0689, 96.91, 95.10
59, 0.0682, 96.97, 95.10
60, 0.0676, 96.97, 95.05
61, 0.0669, 97.03, 95.10
62, 0.0663, 97.03, 95.10
63, 0.0657, 97.03, 95.10
64, 0.0651, 97.06, 95.10
65, 0.0645, 97.06, 95.05
66, 0.0639, 97.06, 95.05
67, 0.0633, 97.09, 95.10
68, 0.0628, 97.11, 95.05
69, 0.0622, 97.14, 95.05
70, 0.0617, 97.17, 95.00
71, 0.0612, 97.17, 95.00
72, 0.0606, 97.17, 95.00
73, 0.0601, 97.17, 95.00
74, 0.0596, 97.20, 95.00
75, 0.0592, 97.20, 95.00
76, 0.0587, 97.20, 95.00
77, 0.0582, 97.23, 95.00
78, 0.0577, 97.23, 95.05
79, 0.0573, 97.26, 95.10
80, 0.0568, 97.29, 95.10
81, 0.0564, 97.34, 95.10
82, 0.0560, 97.34, 95.15
83, 0.0555, 97.34, 95.10
84, 0.0551, 97.40, 95.10
85, 0.0547, 97.43, 95.10
86, 0.0543, 97.46, 95.05
87, 0.0539, 97.46, 95.05
88, 0.0535, 97.49, 95.10
89, 0.0531, 97.49, 95.10
90, 0.0528, 97.49, 95.05
91, 0.0524, 97.49, 95.05
92, 0.0520, 97.49, 95.05
93, 0.0516, 97.49, 95.00
94, 0.0513, 97.51, 95.00
95, 0.0509, 97.51, 95.05
96, 0.0506, 97.51, 95.10
97, 0.0502, 97.51, 95.10
98, 0.0499, 97.51, 95.10
99, 0.0495, 97.54, 95.10
100, 0.0492, 97.57, 95.10

