
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-25-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9217, 73.77, 73.60
2, 0.5675, 81.51, 80.05
3, 0.4988, 85.57, 83.20
4, 0.4466, 87.51, 85.25
5, 0.4026, 89.00, 86.70
6, 0.3642, 89.89, 87.55
7, 0.3309, 91.09, 88.95
8, 0.3036, 91.80, 90.10
9, 0.2819, 92.31, 90.85
10, 0.2646, 92.69, 91.30
11, 0.2507, 92.80, 91.40
12, 0.2394, 93.14, 91.75
13, 0.2301, 93.43, 92.25
14, 0.2222, 93.66, 92.65
15, 0.2155, 93.83, 93.10
16, 0.2096, 93.94, 93.25
17, 0.2045, 94.09, 93.40
18, 0.2000, 94.11, 93.45
19, 0.1960, 94.26, 93.45
20, 0.1924, 94.29, 93.55
21, 0.1891, 94.37, 93.70
22, 0.1860, 94.49, 93.65
23, 0.1832, 94.54, 93.65
24, 0.1806, 94.63, 93.55
25, 0.1782, 94.63, 93.60
26, 0.1758, 94.63, 93.65
27, 0.1736, 94.71, 93.75
28, 0.1715, 94.74, 93.90
29, 0.1695, 94.83, 93.90
30, 0.1675, 94.94, 93.95
31, 0.1656, 95.03, 93.95
32, 0.1638, 95.06, 94.05
33, 0.1621, 95.14, 94.05
34, 0.1604, 95.14, 94.00
35, 0.1588, 95.11, 93.90
36, 0.1573, 95.11, 93.85
37, 0.1558, 95.14, 93.90
38, 0.1543, 95.17, 93.85
39, 0.1530, 95.17, 93.90
40, 0.1516, 95.26, 93.95
41, 0.1503, 95.29, 94.00
42, 0.1491, 95.34, 94.00
43, 0.1479, 95.46, 94.05
44, 0.1468, 95.57, 94.05
45, 0.1457, 95.66, 94.05
46, 0.1446, 95.69, 94.05
47, 0.1436, 95.69, 94.05
48, 0.1426, 95.74, 94.05
49, 0.1416, 95.77, 94.10
50, 0.1407, 95.77, 94.20
51, 0.1398, 95.80, 94.25
52, 0.1389, 95.80, 94.25
53, 0.1381, 95.83, 94.30
54, 0.1372, 95.86, 94.30
55, 0.1365, 95.86, 94.35
56, 0.1357, 95.89, 94.35
57, 0.1349, 95.89, 94.45
58, 0.1342, 95.89, 94.45
59, 0.1335, 95.89, 94.45
60, 0.1328, 95.94, 94.55
61, 0.1322, 95.94, 94.55
62, 0.1315, 96.03, 94.60
63, 0.1309, 96.03, 94.60
64, 0.1303, 96.03, 94.60
65, 0.1297, 96.03, 94.60
66, 0.1292, 96.03, 94.50
67, 0.1286, 96.03, 94.55
68, 0.1281, 96.06, 94.55
69, 0.1275, 96.09, 94.55
70, 0.1270, 96.11, 94.55
71, 0.1265, 96.11, 94.60
72, 0.1260, 96.14, 94.60
73, 0.1255, 96.17, 94.60
74, 0.1251, 96.20, 94.60
75, 0.1246, 96.20, 94.65
76, 0.1241, 96.20, 94.65
77, 0.1237, 96.20, 94.65
78, 0.1233, 96.23, 94.65
79, 0.1228, 96.26, 94.60
80, 0.1224, 96.26, 94.65
81, 0.1220, 96.31, 94.60
82, 0.1216, 96.31, 94.60
83, 0.1212, 96.31, 94.60
84, 0.1208, 96.31, 94.60
85, 0.1205, 96.31, 94.60
86, 0.1201, 96.34, 94.65
87, 0.1197, 96.34, 94.65
88, 0.1193, 96.34, 94.65
89, 0.1190, 96.37, 94.60
90, 0.1186, 96.37, 94.65
91, 0.1183, 96.37, 94.70
92, 0.1180, 96.37, 94.65
93, 0.1176, 96.40, 94.65
94, 0.1173, 96.40, 94.65
95, 0.1170, 96.49, 94.65
96, 0.1166, 96.49, 94.65
97, 0.1163, 96.49, 94.70
98, 0.1160, 96.49, 94.70
99, 0.1157, 96.49, 94.70
100, 0.1154, 96.51, 94.70

